material,voxel_size_m,nodes,bonds,dt_label,dt_s,steps,repeats,accepted_steps,outer_min,outer_max,linear_min,linear_max,max_velocity_residual_m_s,wall_min_ms,wall_med_ms,wall_p95_ms,wall_max_ms,realtime_ratio_med,status
iron,0.12,81,773,1/60,0.016666666666666666,12,3,36/36,5,5,113,131,4.5735e-10,0.8256,0.9742,1.4126,1.8135,0.05845,ok
iron,0.12,81,773,1/120,0.008333333333333333,12,3,36/36,4,4,105,107,6.26574e-11,0.7786,0.8485,1.3150,1.5253,0.1018,ok
iron,0.12,81,773,1/240,0.004166666666666667,12,3,36/36,4,4,61,63,3.78729e-11,0.4963,0.5101,0.8231,0.8364,0.1224,ok
iron,0.12,81,773,2ms,0.002,12,3,36/36,3,3,62,69,4.00274e-12,0.4782,0.5183,0.5883,0.6159,0.2591,ok
iron,0.12,81,773,1/480,0.0020833333333333333,12,3,36/36,3,3,61,62,3.21068e-12,0.4843,0.5041,0.8585,0.9587,0.242,ok
iron,0.12,81,773,1/960,0.0010416666666666667,12,3,36/36,3,3,35,35,5.71866e-10,0.3146,0.3308,0.3779,0.4148,0.3176,ok
iron,0.1,117,1181,1/30,0.03333333333333333,12,3,0/1,32,32,2398,2398,2.53205e-09,23.8809,23.8809,23.8809,23.8809,0.7164,rejected
iron,0.1,117,1181,1/60,0.016666666666666666,12,3,36/36,5,6,248,292,9.32283e-10,2.2191,2.4104,4.0189,4.0809,0.1446,ok
iron,0.1,117,1181,1/120,0.008333333333333333,12,3,36/36,4,4,132,135,2.44408e-10,1.3517,1.4145,1.9387,2.0544,0.1697,ok
iron,0.1,117,1181,1/240,0.004166666666666667,12,3,36/36,4,4,71,71,7.99142e-11,0.8330,0.8822,1.1561,2.0592,0.2117,ok
iron,0.1,117,1181,2ms,0.002,12,3,36/36,3,3,68,79,1.36889e-11,0.7781,0.9334,1.5826,1.9158,0.4667,ok
iron,0.1,117,1181,1/480,0.0020833333333333333,12,3,36/36,3,3,68,79,1.44487e-11,0.7740,0.8861,0.9559,1.0144,0.4253,ok
iron,0.1,117,1181,1/960,0.0010416666666666667,12,3,36/36,3,3,75,76,4.47824e-12,0.8370,0.8744,1.0278,1.2830,0.8395,ok
iron,0.08,179,1957,1/30,0.03333333333333333,12,3,36/36,51,51,6239,6321,9.85752e-10,93.0595,103.8137,109.0311,110.3784,3.114,ok
