material,damping_kg_s,comparison,first_experiment,second_experiment,time_s,position_rms_m,velocity_rms_m_s,position_max_m,velocity_max_m_s,com_position_difference_m,com_velocity_difference_m_s,internal_kinetic_difference_j,body_elastic_difference_j
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0015,3.410994867862147e-09,0.0008551641576826863,4.151820733815172e-08,0.019468647789030107,1.0729390032995654e-12,2.5051413383714305e-06,0.00018375856593161322,0.005366280069999618
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0016,1.0226571966520311e-09,0.0002842980755859731,1.0023546676256908e-08,0.004437520472671487,6.704748059199714e-13,2.980454434087232e-07,5.246192912822245e-05,0.000679945830000861
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0017,2.9098789185527078e-09,0.0008839973849390247,1.666485007891704e-08,0.017688739610125282,4.396247514198797e-12,4.2746708513174976e-08,0.0002525283367641601,0.0005498429399999338
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0018,7.295836037055887e-09,0.001882233800125438,4.9415879495436964e-08,0.024899938691713197,1.9442286799702666e-10,1.83566378689215e-06,0.0003217372998229398,0.004500664170000057
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0019,1.168680416171915e-08,0.0025700859490321902,7.515705479379825e-08,0.02248048151574004,4.112800378046773e-10,1.978467852437049e-06,0.0013230855586824491,0.005415675440000101
iron,10000,fixed_comparison,adaptive-1000,fixed,0.002,1.4894097434743423e-08,0.0034630145521971573,7.66845287990273e-08,0.01647914915274734,6.237731802440352e-10,1.6722161033655425e-06,0.0006884077927472171,0.0002542113999997042
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0021,2.012055562090744e-08,0.004235867007057025,7.853281761197977e-08,0.01397645998070952,8.40849223582522e-10,1.25409182316627e-06,5.656760010465389e-05,0.00850938510999999
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0022,2.559792325471401e-08,0.004962136850156735,1.2423019812857206e-07,0.02235756483458165,1.044351508918033e-09,6.486282930762144e-07,0.00019381852470398697,0.0027105448239999053
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0023,2.6344681646089256e-08,0.005776209441086738,9.852045398939246e-08,0.03296751741719262,1.164265738722537e-09,7.424071567507795e-07,0.0012555249513390293,0.0011013880230000272
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0024,2.7592352726999987e-08,0.006311921251143844,9.07582651532568e-08,0.024842783680087212,1.244096308611485e-09,2.595866344101694e-08,0.0009470957723094059,0.0009149192869999934
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0025,3.1048052931084686e-08,0.00634465138473583,1.4850344010172625e-07,0.027801942357301674,1.2466921705049809e-09,2.5958662663860828e-08,0.0008781100844905132,0.0008459335964999953
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0026,3.260403802207438e-08,0.0068130697468001674,1.4860355429524574e-07,0.025150738872075768,1.2492880410720907e-09,2.595865644661189e-08,0.0008313158372725074,0.0008634923259999983
